pose,definition,intensity,duration,instructions,muscle_groups
Happy Baby Pose (Ananda Balasana),A gentle stretch that opens the hips and stretches the inner thighs and lower back.,Low,1-3 minutes,"Lie on your back, bringing your knees towards your chest. Hold the outside edges of your feet with your hands. Gently press your knees towards the floor, keeping your feet flexed. Breathe deeply and relax.","hips, inner thighs, lower back"
Bridge Pose (Setu Bandhasana),"A backbend that strengthens the back, glutes, and legs while opening the chest.",Moderate,1-2 minutes,"Lie on your back with knees bent and feet hip-width apart. Press your feet into the mat, lifting your hips towards the ceiling. Clasp your hands under your back, rolling your shoulders under. Keep your thighs and feet parallel.","back, glutes, legs, chest"
Upward-Facing Dog (Urdhva Mukha Svanasana),"A backbend that opens the chest and strengthens the spine, arms, and wrists.",Moderate,15-30 seconds,"Lie face down with palms under shoulders. Press into your hands, lifting your chest and legs off the ground. Keep your thighs and tops of your feet pressing into the mat. Gaze slightly upward.","spine, arms, wrists, chest"
King Pigeon Pose (Kapotasana),A deep backbend and hip opener that stretches the front of the body and thighs.,High,30 seconds to 1 minute per side,"Begin in a tabletop position. Bring your right knee towards your right wrist. Extend your left leg straight behind you. Lift your chest, reaching your arms back and grabbing your left foot.","hips, thighs, chest, back"
Cow Face Pose (Gomukhasana),"A seated pose that stretches the shoulders, arms, and hips.",Moderate,1-3 minutes per side,"Sit with legs extended. Bend your right knee, placing your right foot outside your left hip. Cross your left leg over your right, placing your left foot outside your right hip. Reach your right arm behind your back and your left arm overhead, clasping your hands.","shoulders, arms, hips"
Bound Angle Pose (Baddha Konasana),A seated pose that opens the hips and stretches the inner thighs.,Low,1-3 minutes,"Sit with legs extended. Bend your knees, bringing the soles of your feet together. Hold your feet with your hands, gently pressing your knees towards the floor. Keep your spine straight and chest lifted.","hips, inner thighs"
Extended Puppy Pose (Uttana Shishosana),A gentle backbend and stretch for the spine and shoulders.,Low,1-3 minutes,"Start on hands and knees. Walk your hands forward, lowering your chest towards the floor. Keep your hips above your knees. Rest your forehead on the mat and breathe deeply.","spine, shoulders"
Warrior I (Virabhadrasana I),A standing pose that strengthens the legs and arms while stretching the hips and chest.,Moderate,30 seconds to 1 minute per side,"Stand with feet wide apart. Turn your right foot out 90 degrees, left foot slightly in. Bend your right knee, aligning it over your right ankle. Extend your arms overhead, keeping your hips square to the front.","legs, arms, hips, chest"
Revolved Triangle Pose (Parivrtta Trikonasana),"A standing twist that stretches the legs, hips, and spine while improving balance.",Moderate,30 seconds to 1 minute per side,"Stand with feet wide apart. Turn your right foot out 90 degrees, left foot slightly in. Extend your arms parallel to the floor. Twist your torso to the right, placing your left hand on the floor or a block outside your right foot.","legs, hips, spine"
Standing Forward Bend (Uttanasana),A forward bend that stretches the hamstrings and calves while calming the mind.,Moderate,1-3 minutes,"Stand with feet hip-width apart. Hinge at your hips, folding forward and reaching for your feet or the floor. Keep your knees slightly bent if needed. Let your head and neck relax.","hamstrings, calves, spine"
Crescent Lunge (Anjaneyasana),A lunge that stretches the hips and strengthens the legs while improving balance.,Moderate,30 seconds to 1 minute per side,"Start in a standing position. Step your right foot forward, bending your right knee to 90 degrees. Extend your left leg straight behind you, keeping your left heel lifted. Extend your arms overhead and gaze forward.","hips, legs, core"
Reclining Bound Angle Pose (Supta Baddha Konasana),A reclined pose that opens the hips and stretches the inner thighs.,Low,1-3 minutes,"Lie on your back with knees bent. Bring the soles of your feet together, letting your knees fall open. Place your arms by your sides or overhead. Breathe deeply and relax.","hips, inner thighs"
Revolved Chair Pose (Parivrtta Utkatasana),A twist in chair pose that strengthens the legs and core while stretching the spine.,Moderate,30 seconds to 1 minute per side,"Stand with feet together. Bend your knees, lowering your hips as if sitting in a chair. Bring your hands together at your chest. Twist your torso to the right, placing your left elbow on the outside of your right knee.","legs, core, spine"
Plank Pose (Phalakasana),"A strengthening pose that engages the core, arms, and shoulders.",Moderate,15-30 seconds,Start in a push-up position with your hands under your shoulders. Keep your body in a straight line from head to heels. Engage your core and hold.,"core, arms, shoulders"
Hero Pose (Virasana),A seated pose that stretches the thighs and ankles while promoting relaxation.,Low,1-3 minutes,Kneel on the floor with knees together and feet slightly apart. Sit back on your heels or between your feet. Rest your hands on your thighs and breathe deeply.,"thighs, ankles"
Crow Pose (Bakasana),"An arm balance that strengthens the core, shoulders, and arms while enhancing concentration and balance.",High,15-30 seconds,"Squat down, placing your hands on the mat shoulder-width apart. Lift your hips, bringing your knees to rest on the backs of your upper arms. Shift your weight forward, balancing on your hands. Keep your gaze forward and engage your core.","core, shoulders, arms"
Child's Pose (Balasana),"A restful pose that stretches the hips, thighs, and ankles while reducing stress and fatigue.",Low,1-3 minutes,"Kneel on the floor, sitting back on your heels. Bend forward, bringing your forehead to the mat. Stretch your arms forward or alongside your body. Breathe deeply and relax.","hips, thighs, ankles"
